Timestamp,Total_RAM_GB,Used_RAM_GB,Percentage_Used
15:20:43,7.65,4.65,60.8
15:20:44,7.65,4.61,60.3
15:20:45,7.65,4.62,60.4
15:20:46,7.65,4.62,60.4
15:20:47,7.65,4.63,60.5
15:20:48,7.65,4.63,60.5
15:20:49,7.65,4.63,60.5
15:20:50,7.65,4.62,60.5
15:20:51,7.65,4.62,60.5
15:20:52,7.65,4.62,60.5
15:20:53,7.65,4.62,60.4
15:20:54,7.65,4.63,60.5
15:20:55,7.65,4.62,60.4
15:20:56,7.65,4.62,60.4
15:20:57,7.65,4.62,60.4
15:20:58,7.65,4.62,60.5
15:20:59,7.65,4.63,60.5
15:21:00,7.65,4.63,60.5
15:21:01,7.65,4.63,60.5
15:21:02,7.65,4.63,60.5
